"date","close","volume","open","high","low"

"2018/06/15","188.8400","61438290.0000","190.0300","190.1600","188.2600"
"2018/06/14","190.8000","21584720.0000","191.5500","191.5700","190.2200"
"2018/06/13","190.7000","21480120.0000","192.4200","192.8800","190.4400"
"2018/06/12","192.2800","16859020.0000","191.3850","192.6110","191.1500"
"2018/06/11","191.2300","18069930.0000","191.3500","191.9700","190.2100"
"2018/06/08","191.7000","26580710.0000","191.1700","192.0000","189.7700"
"2018/06/07","193.4600","21329170.0000","194.1400","194.2000","192.3350"
"2018/06/06","193.9800","20912820.0000","193.6300","194.0800","191.9200"
"2018/06/05","193.3100","21535570.0000","193.0650","193.9400","192.3600"
"2018/06/04","191.8300","26190620.0000","191.6350","193.4200","191.3500"
"2018/06/01","190.2400","23377690.0000","187.9910","190.2600","187.7500"
"2018/05/31","186.8700","27468700.0000","187.2200","188.2300","186.1400"
"2018/05/30","187.5000","18503410.0000","187.7200","188.0000","186.7800"
"2018/05/29","187.9000","22409110.0000","187.6000","188.7500","186.8700"
"2018/05/25","188.5800","17186760.0000","188.2300","189.6500","187.6500"
"2018/05/24","188.1500","23129400.0000","188.7700","188.8400","186.2100"
"2018/05/23","188.3600","19966590.0000","186.3500","188.5000","185.7600"
"2018/05/22","187.1600","15228270.0000","188.3750","188.8800","186.7800"
"2018/05/21","187.6300","18383080.0000","188.0000","189.2700","186.9106"
"2018/05/18","186.3100","18083080.0000","187.1900","187.8102","186.1300"
"2018/05/17","186.9900","17014490.0000","188.0000","188.9100","186.3600"
"2018/05/16","188.1800","19046600.0000","186.0700","188.4600","186.0000"
"2018/05/15","186.4400","23639070.0000","186.7800","187.0700","185.1000"
"2018/05/14","188.1500","20393070.0000","189.0100","189.5300","187.8600"
"2018/05/11","188.5900","26167950.0000","189.4900","190.0600","187.4500"
"2018/05/10","190.0400","27942430.0000","187.7400","190.3700","187.6500"
"2018/05/09","187.3600","23141260.0000","186.5500","187.4000","185.2200"
"2018/05/08","186.0500","28053230.0000","184.9900","186.2200","183.6650"
"2018/05/07","185.1600","42557530.0000","185.1800","187.6700","184.7500"
"2018/05/04","183.8300","56137230.0000","178.2500","184.2500","178.1700"
"2018/05/03","176.8900","33944110.0000","175.8800","177.5000","174.4411"
"2018/05/02","176.5700","66454720.0000","175.2250","177.7500","173.8000"
"2018/05/01","169.1000","52228910.0000","166.4100","169.2000","165.2700"
"2018/04/30","165.2600","41976500.0000","162.1300","167.2600","161.8400"
"2018/04/27","162.3200","35617230.0000","164.0000","164.3300","160.6300"
"2018/04/26","164.2200","27850370.0000","164.1200","165.7300","163.3700"
"2018/04/25","163.6500","28331540.0000","162.6200","165.4200","162.4100"
"2018/04/24","162.9400","33674960.0000","165.6700","166.3300","161.2201"
"2018/04/23","165.2400","36396590.0000","166.8350","166.9200","164.0900"
"2018/04/20","165.7200","65270950.0000","170.5950","171.2184","165.4300"
"2018/04/19","172.8000","34693280.0000","174.9500","175.3900","172.6600"
"2018/04/18","177.8400","20544600.0000","177.8100","178.8200","176.8800"
"2018/04/17","178.2400","26575010.0000","176.4900","178.9365","176.4100"
"2018/04/16","175.8200","21561320.0000","175.0301","176.1900","174.8301"
"2018/04/13","174.7300","25100510.0000","174.7800","175.8400","173.8500"
"2018/04/12","174.1400","22858840.0000","173.4100","175.0000","173.0400"
"2018/04/11","172.4400","22401040.0000","172.2300","173.9232","171.7000"
"2018/04/10","173.2500","28567110.0000","173.0000","174.0000","171.5300"
"2018/04/09","170.0500","28976200.0000","169.8800","173.0900","169.8450"
"2018/04/06","168.3800","34949690.0000","170.9700","172.4800","168.2000"
"2018/04/05","172.8000","26750260.0000","172.5800","174.2304","172.0800"
"2018/04/04","171.6100","34581850.0000","164.8800","172.0100","164.7700"
"2018/04/03","168.3900","30237640.0000","167.6400","168.7455","164.8800"
"2018/04/02","166.6800","37425640.0000","167.8800","168.9400","164.4700"
"2018/03/29","167.7800","38116290.0000","167.8050","171.7500","166.9000"
"2018/03/28","166.4800","41464880.0000","167.2500","170.0200","165.1900"
"2018/03/27","168.3400","39824200.0000","173.6800","175.1500","166.9200"
"2018/03/26","172.7700","36778560.0000","168.0700","173.1000","166.4400"
"2018/03/23","164.9400","40984540.0000","168.3900","169.9200","164.9400"
"2018/03/22","168.8500","41335980.0000","170.0000","172.6800","168.6000"
"2018/03/21","171.2700","36387880.0000","175.0400","175.0900","171.2600"
"2018/03/20","175.2400","19620520.0000","175.2400","176.8000","174.9400"
"2018/03/19","175.3000","32931110.0000","177.3200","177.4700","173.6600"
"2018/03/16","178.0200","38313330.0000","178.6500","179.1200","177.6200"
"2018/03/15","178.6500","22676520.0000","178.5000","180.2400","178.0701"
